seed,domain,exact_local_utility,hungarian_utility,percent_of_exact_local,selected_ues,allowed_ues,demand_copies,physical_slots,fully_selected_before_repair,partially_selected_before_repair,repair_drops,refills,swap_used
5,3,70.41505350708005,70.41505350708005,100.0,5,12,47,20,5,1,0,0,True
5,4,60.37625294589701,59.51043607558153,98.56596455051404,5,10,41,20,5,0,1,1,True
5,5,84.54905105442793,84.54905105442793,99.99999999999999,4,10,46,20,3,1,0,1,False
5,6,78.10612150551061,78.10612150551061,100.0,5,12,54,20,4,1,0,1,False
5,7,69.81934529054226,69.81934529054226,100.0,5,12,51,20,4,1,0,1,False
5,8,79.06063006663372,79.06063006663372,100.0,5,12,50,20,5,1,0,0,False
5,9,64.55850255586542,64.55850255586542,100.0,3,10,53,20,3,1,0,0,True
6,0,80.29726449264221,78.57730997807919,97.8580160539334,4,10,46,20,3,1,0,1,False
6,1,63.409880852471915,63.03831356292376,99.41402304411731,5,12,47,20,4,1,0,1,False
6,2,74.35596953436595,74.35596953436595,100.0,4,12,54,20,3,1,0,1,False
6,3,75.73192932890069,75.73192932890069,100.0,5,12,50,20,5,1,0,0,True
6,4,69.56691564165047,68.20236484284867,98.03850611139524,6,10,35,20,5,0,1,2,False
6,5,65.35044970028511,65.35044970028511,100.0,5,10,41,20,5,1,0,0,False
6,6,67.64970928188319,67.12812236890053,99.22898868521473,5,12,49,20,5,0,1,1,True
6,7,73.0580279061115,73.0580279061115,100.0,5,12,48,20,5,1,0,0,True
6,8,71.20509369970397,71.20509369970397,100.0,6,12,44,20,6,0,0,0,False
6,9,67.52871076297019,67.52871076297019,100.0,5,10,41,20,5,1,0,0,False
7,0,76.7550269189269,76.7550269189269,100.0,4,10,49,20,4,1,0,0,True
7,1,57.121520385675694,56.99274079005469,99.77455152672493,5,12,52,20,4,1,0,1,False
7,2,79.04771286858882,79.04771286858882,100.0,5,12,54,20,5,0,0,0,False
7,3,76.23315332531683,74.90279676056987,98.25488451321198,7,12,37,20,7,1,0,0,False
7,4,72.1656296767533,71.70931415232246,99.36768302795281,6,10,34,20,5,1,0,1,False
7,5,77.0992589660568,77.0992589660568,100.0,5,10,47,20,4,1,0,1,False
7,6,71.17192571893051,70.87884138614882,99.58820232862728,6,12,49,20,6,1,0,0,False
7,7,71.6517273314864,66.51127310715476,92.82577766681037,5,12,46,20,5,0,2,2,True
7,8,82.67203547795943,80.44015323078334,97.3003177745985,6,12,47,20,5,1,0,1,True
7,9,67.34145542067661,67.34145542067661,100.0,5,10,38,20,5,0,0,0,False
8,0,72.06575005913294,72.06575005913294,100.0,5,10,37,20,5,1,0,0,False
