variant,seed,resolved,normalized_utility,selected_ues,projection_switches,projection_gap_owner_evaluations
unrestricted_top8_projection_gap,72,True,93.12856722808256,49,6,17
final_measured_gap_top1_completion,72,True,91.95896649624456,49,4,0
strict_measured_top16,73,False,nan,,0,0
unrestricted_top16_projection_gap,73,True,97.60290806881531,50,2,8
current_action_projection_gap,73,True,96.7872564892416,49,2,8
top1_projection_gap,73,True,96.58877793075246,49,2,8
unrestricted_top8_projection_gap,73,True,94.4402349826059,48,4,12
final_measured_gap_top1_completion,73,True,96.58877793075246,49,2,0
strict_measured_top16,74,False,nan,,0,0
unrestricted_top16_projection_gap,74,True,97.80435532415919,48,1,10
current_action_projection_gap,74,True,97.22789752608526,47,1,10
top1_projection_gap,74,True,96.17567382372441,46,1,10
unrestricted_top8_projection_gap,74,True,98.0099951473308,48,3,11
final_measured_gap_top1_completion,74,True,96.17567382372441,46,1,0
strict_measured_top16,75,True,99.80590137887188,49,0,0
unrestricted_top16_projection_gap,75,True,99.80590137887188,49,0,7
current_action_projection_gap,75,True,99.80590137887188,49,0,7
top1_projection_gap,75,True,99.80590137887188,49,0,7
unrestricted_top8_projection_gap,75,True,96.00616163060863,46,2,10
final_measured_gap_top1_completion,75,True,99.80590137887188,49,0,0
strict_measured_top16,76,False,nan,,0,0
unrestricted_top16_projection_gap,76,True,96.53869060726792,50,3,9
current_action_projection_gap,76,True,96.0058218693212,50,2,9
top1_projection_gap,76,True,94.1011043634282,49,2,9
unrestricted_top8_projection_gap,76,True,95.42683307208846,50,3,13
final_measured_gap_top1_completion,76,True,94.1011043634282,49,2,0
strict_measured_top16,77,True,99.79347194000937,47,0,0
unrestricted_top16_projection_gap,77,True,99.79347194000937,47,0,5
current_action_projection_gap,77,True,99.79347194000937,47,0,5
top1_projection_gap,77,True,99.79347194000937,47,0,5
unrestricted_top8_projection_gap,77,True,96.67658638683336,45,2,7
final_measured_gap_top1_completion,77,True,99.79347194000937,47,0,0
strict_measured_top16,78,False,nan,,0,0
unrestricted_top16_projection_gap,78,True,97.25720965172314,51,2,10
current_action_projection_gap,78,True,94.66294904366572,50,2,10
top1_projection_gap,78,True,93.84128741160126,49,2,10
unrestricted_top8_projection_gap,78,True,92.51392843335388,48,5,14
final_measured_gap_top1_completion,78,True,96.23344432027031,50,1,0
strict_measured_top16,79,False,nan,,0,0
unrestricted_top16_projection_gap,79,True,98.86789466924184,55,1,7
