seed,method,L_position,centralized_utility,utility,normalized_utility,selected_ues,used_local_reexecutions,total_triggered_local_reexecutions
12,O-RAN negotiation-based ConMit,3.0,696.2706033546544,652.4023821572687,93.69954425965605,47,2,5
12,O-RAN negotiation-based ConMit,4.0,696.2706033546544,661.4309148466177,94.9962430784557,48,3,5
12,O-RAN negotiation-based ConMit,5.0,696.2706033546544,679.8705875852825,97.64459167307135,49,4,5
12,O-RAN negotiation-based ConMit,6.0,696.2706033546544,687.8360060459937,98.78860355901534,48,5,5
12,O-RAN negotiation-based ConMit,7.0,696.2706033546544,687.8360060459937,98.78860355901534,48,5,5
12,O-RAN negotiation-based ConMit,8.0,696.2706033546544,687.8360060459937,98.78860355901534,48,5,5
12,O-RAN negotiation-based ConMit,9.0,696.2706033546544,687.8360060459937,98.78860355901534,48,5,5
13,Quantum-classical hybrid,1.0,689.8765769954657,525.0834396446971,76.11266379437438,39,0,0
13,Quantum-classical hybrid,1.5,689.8765769954657,686.9055568057711,99.56934033002918,49,0,0
13,O-RAN fixed-priority ConMit,1.0,689.8765769954657,488.43924727618275,70.80096115212693,36,0,5
13,O-RAN fixed-priority ConMit,1.5,689.8765769954657,592.8271348309776,85.93234711821127,43,0,5
13,O-RAN negotiation-based ConMit,1.0,689.8765769954657,488.43924727618275,70.80096115212693,36,0,5
13,O-RAN negotiation-based ConMit,2.0,689.8765769954657,603.2354591119955,87.44106978369848,44,1,5
13,O-RAN negotiation-based ConMit,3.0,689.8765769954657,621.3941252595935,90.07323135478445,45,2,5
13,O-RAN negotiation-based ConMit,4.0,689.8765769954657,637.4211567386682,92.3964050953505,46,3,5
13,O-RAN negotiation-based ConMit,5.0,689.8765769954657,637.4211567386682,92.3964050953505,46,4,5
13,O-RAN negotiation-based ConMit,6.0,689.8765769954657,665.2394947059762,96.42876956385615,48,5,5
13,O-RAN negotiation-based ConMit,7.0,689.8765769954657,665.2394947059762,96.42876956385615,48,5,5
13,O-RAN negotiation-based ConMit,8.0,689.8765769954657,665.2394947059762,96.42876956385615,48,5,5
13,O-RAN negotiation-based ConMit,9.0,689.8765769954657,665.2394947059762,96.42876956385615,48,5,5
14,Quantum-classical hybrid,1.0,709.0138905576255,461.98831803975776,65.15927603003843,34,0,0
14,Quantum-classical hybrid,1.5,709.0138905576255,665.1885378452075,93.81883016735395,51,0,0
14,O-RAN fixed-priority ConMit,1.0,709.0138905576255,492.5890263546005,69.47522931704327,36,0,7
14,O-RAN fixed-priority ConMit,1.5,709.0138905576255,610.2183076673881,86.06577611440918,45,0,7
14,O-RAN negotiation-based ConMit,1.0,709.0138905576255,492.5890263546005,69.47522931704327,36,0,7
14,O-RAN negotiation-based ConMit,2.0,709.0138905576255,610.2183076673881,86.06577611440918,45,1,7
14,O-RAN negotiation-based ConMit,3.0,709.0138905576255,613.8497837824284,86.57796299303074,46,2,7
14,O-RAN negotiation-based ConMit,4.0,709.0138905576255,625.7060595722463,88.25018351617072,47,3,7
14,O-RAN negotiation-based ConMit,5.0,709.0138905576255,629.9863049218251,88.85387343065355,48,4,7
14,O-RAN negotiation-based ConMit,6.0,709.0138905576255,652.634890929376,92.04825175090596,50,5,7
