round,UE1_d1,UE1_d2,UE1_d3,UE1_r1,UE1_r2,UE1_r3,UE1_s1,UE1_s2,UE1_s3,UE1_asgn,UE1_near,UE1_ok,UE2_d1,UE2_d2,UE2_d3,UE2_r1,UE2_r2,UE2_r3,UE2_s1,UE2_s2,UE2_s3,UE2_asgn,UE2_near,UE2_ok,UE3_d1,UE3_d2,UE3_d3,UE3_r1,UE3_r2,UE3_r3,UE3_s1,UE3_s2,UE3_s3,UE3_asgn,UE3_near,UE3_ok,UE4_d1,UE4_d2,UE4_d3,UE4_r1,UE4_r2,UE4_r3,UE4_s1,UE4_s2,UE4_s3,UE4_asgn,UE4_near,UE4_ok
30,198.7,105.1,161.4,3.94,6.16,4.72,11.6,18.5,14.0,O-RU2,O-RU2,OK,80.6,182.3,248.7,8.49,3.83,0.0,25.6,11.2,0.0,O-RU1,O-RU1,OK,151.2,274.9,127.0,5.82,2.29,5.02,17.4,5.9,15.0,O-RU1,O-RU3,MISS,131.6,266.7,141.2,6.01,7.34,4.51,18.0,22.1,13.4,O-RU2,O-RU1,MISS
31,198.7,105.1,161.4,9.99,5.96,0.0,30.1,17.9,0.0,O-RU1,O-RU2,MISS,80.0,181.9,245.4,14.4,4.08,0.0,43.3,12.0,0.0,O-RU1,O-RU1,OK,118.8,264.6,152.7,6.23,2.33,4.76,18.7,6.0,14.2,O-RU3,O-RU1,MISS,118.6,286.8,168.9,6.14,0.0,4.27,18.4,0.0,12.6,O-RU3,O-RU1,MISS
32,180.1,120.3,155.7,10.29,5.64,0.0,31.0,16.9,0.0,O-RU1,O-RU2,MISS,80.0,181.9,245.4,7.03,4.55,0.0,21.1,13.5,0.0,O-RU1,O-RU1,OK,118.8,264.6,152.7,6.99,2.39,4.34,21.0,6.3,12.9,O-RU3,O-RU1,MISS,118.6,286.8,168.9,6.15,0.0,4.28,18.4,0.0,12.7,O-RU3,O-RU1,MISS
33,180.1,120.3,155.7,4.5,5.45,4.85,13.4,16.3,14.4,O-RU2,O-RU2,OK,80.0,181.9,245.4,6.56,4.86,0.0,19.7,14.5,0.0,O-RU1,O-RU1,OK,118.8,264.6,152.7,7.21,2.4,4.24,21.7,6.3,12.5,O-RU1,O-RU1,OK,118.6,286.8,168.9,6.2,0.0,4.44,18.6,0.0,13.1,O-RU3,O-RU1,MISS
34,161.9,136.9,152.4,4.66,5.26,4.87,13.9,15.7,14.5,O-RU2,O-RU2,OK,111.4,149.0,233.9,6.14,5.19,0.0,18.4,15.5,0.0,O-RU2,O-RU1,MISS,95.1,259.4,172.8,7.1,2.43,4.33,21.3,6.4,12.8,O-RU1,O-RU1,OK,115.8,277.6,164.2,6.24,0.0,4.59,18.7,0.0,13.6,O-RU1,O-RU1,OK
35,161.9,136.9,152.4,4.95,4.97,0.0,14.7,14.8,0.0,O-RU2,O-RU2,OK,111.4,149.0,233.9,5.5,5.79,0.0,16.4,17.4,0.0,O-RU2,O-RU1,MISS,95.1,259.4,172.8,6.7,2.55,4.65,20.1,6.9,13.8,O-RU1,O-RU1,OK,115.8,277.6,164.2,12.49,0.0,4.83,37.6,0.0,14.4,O-RU1,O-RU1,OK
36,161.9,136.9,152.4,5.12,0.0,4.87,15.3,0.0,14.5,O-RU3,O-RU2,MISS,111.4,149.0,233.9,5.15,6.2,0.0,15.4,18.6,0.0,O-RU2,O-RU1,MISS,94.9,259.1,173.0,6.45,2.62,4.85,19.4,7.1,14.5,O-RU1,O-RU1,OK,116.3,251.3,148.7,12.45,0.0,11.04,37.5,0.0,33.2,O-RU1,O-RU1,OK
37,144.2,154.3,151.8,5.3,0.0,4.86,15.9,0.0,14.5,O-RU3,O-RU1,MISS,143.6,116.2,226.7,4.82,6.64,0.0,14.4,19.9,0.0,O-RU2,O-RU2,OK,110.5,245.9,152.4,6.22,2.69,5.06,18.7,7.4,15.1,O-RU1,O-RU1,OK,116.3,251.3,148.7,6.14,0.0,5.11,18.4,0.0,15.3,O-RU1,O-RU1,OK
38,144.2,154.3,151.8,5.62,0.0,4.83,16.8,0.0,14.4,O-RU3,O-RU1,MISS,143.6,116.2,226.7,4.33,13.91,0.0,12.8,41.9,0.0,O-RU2,O-RU2,OK,110.5,245.9,152.4,12.22,2.76,5.27,36.8,7.6,15.8,O-RU1,O-RU1,OK,116.3,251.3,148.7,5.99,0.0,5.31,18.0,0.0,15.9,O-RU1,O-RU1,OK
39,144.2,154.3,151.8,5.81,0.0,4.8,17.4,0.0,14.3,O-RU3,O-RU1,MISS,143.6,116.2,226.7,9.95,8.04,0.0,30.0,24.2,0.0,O-RU1,O-RU2,MISS,110.2,245.5,152.6,5.87,2.82,5.4,17.6,7.8,16.2,O-RU1,O-RU1,OK,123.0,225.2,136.9,5.88,0.0,11.55,17.6,0.0,34.8,O-RU3,O-RU1,MISS
