seed,centralized_utility,hybrid_L1,hybrid_coordination,hungarian_local_mean_percent_of_dp,total_triggered_local_reexecutions
74,705.2632717775164,71.90817499878146,97.80435532415919,96.32361397705027,7
75,775.9392769738827,57.77331123176913,99.80590137887188,99.30184929823157,8
76,693.5374477918187,56.82143997495826,96.53869060726792,98.20814011675067,8
77,682.0896709899148,73.62259217367914,99.79347194000937,99.41194341462561,7
78,759.8845113301346,65.70446122933357,97.25720965172314,98.62698480887857,6
79,710.6618445604133,76.79932766025568,98.86789466924184,96.43643636590005,5
80,669.1819500319192,81.71388127582946,97.28127541037112,98.9821895491738,3
81,714.4983046241247,64.38625884715304,99.13505638874057,99.35981128170242,7
82,730.3076296506739,63.5433845322995,96.94792875467087,97.11047269992909,5
83,718.941206365485,71.30385541752459,98.2937848170941,98.19739586475794,8
84,701.7372918664906,73.25971880231133,97.68560836558726,98.4751129449667,5
85,702.6498859182194,52.40541888562656,96.38785245966444,99.40832149904678,7
86,720.8530549675392,71.14959577160286,96.96165894133297,99.64722175384077,5
87,686.6456089840046,64.001138948642,97.06655356741541,96.64768289379171,5
88,760.9988093614194,61.62039556841629,97.27540347551917,99.82665296995357,6
89,702.2077678681534,66.63232611967894,96.42993943855856,97.63328127237575,6
90,705.3962790261287,78.00800628057762,98.57939575169979,98.39623353143372,6
91,741.0825673653289,70.1129259234063,97.5445678199157,98.13967691318315,7
92,659.6015082142483,63.52805796081713,97.40677738969507,98.29957707417539,8
93,733.7962604140139,82.2443156638035,98.53009945536878,98.45174888981337,4
94,674.7947023004206,62.223092682219544,96.89256725050365,98.5933358511393,7
95,655.0716304753561,57.8173745488589,94.35629009626558,98.0808509051514,5
96,674.4017675504108,81.19815247468269,97.83801820957075,98.50108437068567,4
97,705.9079407869094,63.0730118818295,95.87606560124874,97.6637887268399,7
98,682.5315158923726,70.47295594693664,99.08616149075458,98.9642424315557,7
99,750.0637827733218,71.14558710674231,98.80630470030053,99.41401547835488,6
